"","Sleep.vars","Sleep.n","Sleep.mean","Sleep.sd","Sleep.median","Sleep.trimmed","Sleep.mad","Sleep.min","Sleep.max","Sleep.range","Sleep.skew","Sleep.kurtosis","Sleep.se","Sleep.IQR"
"acousticness",1,130308,0.737259106177288,0.308696737890413,0.886,0.789936507175198,0.1512252,0,0.996,0.996,-1.19458985200976,0.0420671109812618,0.000855158271083165,0.376
"danceability",2,130308,0.4243378656721,0.226896826346127,0.425,0.418066955720973,0.3054156,0,0.998,0.998,0.149124933822678,-1.16357460270818,0.000628554415762217,0.408
"energy",3,130308,0.233258961591,0.230854838255387,0.154,0.199827344601335,0.19674102,0,1,1,1.04922489343127,0.206461200739566,0.000639518984563235,0.3315
"instrumentalness",4,130308,0.618768538483593,0.400264866653032,0.862,0.651746083500115,0.140847,0,1,1,-0.744549704992735,-1.28525530097247,0.00110882224956926,0.8938
"tempo",5,130308,104.945372133714,33.7522286060992,96.629,102.069544010437,34.6839444,0,240.645,240.645,0.608095928025862,-0.241764271673119,0.0935011417912749,52.24925
"liveness",6,130308,0.149171255026552,0.122685455634928,0.11,0.120640969610928,0.02475942,0,0.996,0.996,3.66511539452457,16.1731312734449,0.000339865859434705,0.0393
"loudness",7,130308,-19.7719021165239,9.93103516017309,-19.2345,-19.2733740311565,11.7547941,-60,1.009,61.009,-0.377679316868084,-0.599311480720139,0.0275111648917217,15.835
"valence",8,130308,0.24942682274304,0.226947915669084,0.172,0.215657654823114,0.19733406,0,1,1,1.05316249578012,0.24072665389905,0.00062869594449164,0.3307
"speechiness",9,130308,0.0655570279645148,0.0744297138651284,0.0438,0.047927109392986,0.01230558,0,0.959,0.959,4.70188668472318,28.6307940348776,0.000206186776903075,0.0193
"key",10,130308,5.00006906713325,3.54151695039249,5,4.92024787046274,4.4478,0,11,11,0.101243978843076,-1.27227047690612,0.00981078560468784,6
